galaxy,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),"Intergalactic Development Index (IDI), Rank",Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),"Unemployment, total (% of labour force)",Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,Renewable energy consumption (% of total final energy consumption),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Gender Development Index (GDI),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y,diff - Life expectancy at birth,diff - Mortality rate,diff - Labour force participation rate (% ages 15 and older),diff - Mean years of education,diff - Expected years of education,diff - Estimated gross galactic income per capita,diff - Population with at least some secondary education,diff - Intergalactic Development Index (IDI),"diff - Intergalactic Development Index (IDI), Rank","Population, ages 15–64 (rate)","Population, ages 65 and older (rate)","Population, under age 5 (rate)"
Antlia Dwarf,990025.0,0.8280275922854486,71.25642224089967,21431.826516029,0.8562757458576251,14.182337303477276,11.856184625887153,159.34308711095912,32.54911329599606,1142.3769825982765,84.51147509881183,16.96396315967666,89.2814383671289,2.339046085265564,9.883068416867957,67.69377215925786,68.52805979986607,33.96216019725165,58.43045489382482,2.118402197977412,21.821924225681506,20.9180065600585,17.500635675018167,20195.665586990057,9282.601852033784,18.435625759810208,101.64404341339306,16.391892314350205,9.71602246088231,31.96779822237145,92.77091330307871,39.16321393412097,11.755767295146388,831329.9838311665,122.50114048699076,552.9272290221396,71.26986511730772,34.14092446585322,6.904204507675844,1.0989185630846348,15.605436893497698,5.680441444028356,1.712804229941085,0.059471811445361074,-4.4278978730935705,90.62249222146579,2.975973187686236,-1.129241913025803,-1.612374943967502,14271.728593651056,20.808111998655647,-0.0011228755350511381,10.39922385454553,0.34797092969194504,0.08833397665322452,0.05334963412123902
IC 1613 (UGC 668),990025.0,0.655813471253737,58.704321006778066,23271.83553570251,0.6123683706962613,8.10778035872018,3.838013189385405,177.32928088588932,29.706128645508706,695.2170469288402,49.40585874153752,16.553783898623262,242.9547471034578,2.57157422166515,8.600201947508536,73.48247492652885,74.6608956243279,47.78108585629579,55.859841295769435,1.6773241811479922,18.97223555948003,83.17732495220366,69.29170495939798,16093.875504538535,6738.180423758287,19.476539159897822,116.85516781833864,22.621191705578532,15.894243396286313,123.38216633470724,92.10346666113061,29.91333238510785,7.0115389697194965,807871.9327782658,62.26119684534487,383.87292915281614,43.38626591011686,15.62404333055268,6.403919825218452,0.8065587331782464,18.19076925910904,5.221739761503956,30.254454030779144,0.04890195161303802,-4.491969782043064,54.60550208931414,-3.8902853192725075,0.5132150581699254,1.462388176046126,9803.09151978461,8.249407080438793,0.08907079234833183,-0.3778700472475146,0.6195720166640528,0.10372518379857175,0.054277971480063705
Leo P,990025.0,1.0689569049699197,90.85409209765841,48579.59018793094,1.0825346685694248,17.459732071610297,13.422714378747473,75.26947584198379,31.797522751710854,565.471169270954,93.85244386858524,21.38014657601984,47.39141877665785,2.708855973587778,12.202494596572196,62.97560310178354,68.36302129988935,38.19061820738668,48.734182317186864,2.177742099064762,19.23583725532044,8.635400002694888,13.340571086652984,50706.51886939391,2536.488513415297,16.652331836327516,188.22899141085168,37.4571017445015,6.152937008478445,9.184728562572602,189.11319845142546,34.54314122575625,10.605842871950644,814952.6064211025,115.01893031408005,191.0363810632698,109.17250858746316,74.81192506211003,9.677823006745315,1.059298271673026,35.631013050688466,5.6864489561463865,28.92011370921892,0.17806625579404411,-3.761058822578903,-36.848370663657164,17.646374296311016,-3.4713566746157998,-0.35048905100508065,26867.8046542971,38.62571396880962,-0.01877026338026429,-5.731175634383149,0.4220548448206421,0.11961301620466866,0.14180346859950166
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",990025.0,0.9515492215903184,85.03009355974248,39647.220196691815,1.000000655036743,16.000716200193448,14.202925773021455,95.37779779464987,33.84918771725163,933.7921671169237,80.52862516580922,25.392601190065683,57.77316903931872,2.492110547003711,16.821856063680173,69.1178444189903,63.197886438496674,24.356811407937197,51.08512420021314,2.1419699909427288,25.197587396548986,35.076926057453946,25.38019553326642,40446.36550815432,7842.939039108291,2.673459042002495,182.9568252893367,19.702003725804925,3.633253636770076,32.56412916978168,121.7887070476952,24.480366523310042,10.495709810962829,802175.8992340623,123.44082734337469,145.8756584773255,112.56371583385132,55.93117769838021,8.25379485445734,1.0513935030660346,30.38786364388244,3.813574341898824,-4.661801544996578,0.15490988747588494,-6.722233422233032,86.37820220331142,26.124606974660026,-2.1447407076264575,-1.1759624109712448,20712.200749387106,11.463613616320302,-0.008007020114812458,4.4082513232647225,0.5034793451032935,0.01280592252059005,0.06170443132819717
Draco II,990025.0,0.5618938947203053,58.912251902399035,18747.42869877144,0.6046807355618482,3.977402351525901,4.805283617819209,179.50624859067472,29.69687363302849,642.5778000082997,45.05476082198391,10.397409187596741,195.89151596082147,2.266095651876003,9.961442237828066,73.40959734379402,72.76496720580144,37.05410375650175,30.993013287061768,2.0866133622996865,20.38307946153836,96.53314884225989,58.41675075686632,20886.26155315096,6927.306812119461,14.45164072021842,107.69894827610798,25.064652369435496,7.68229909688062,38.541343795216285,60.91523565492812,27.70138944578171,12.79319207759623,788011.5447472417,49.42697645919483,476.4589120603068,40.338243821907746,28.053472006426762,12.244404460858787,0.5786786862310122,9.173650623486594,4.733872332049291,29.67718636808435,0.05022043090917161,-2.7665547266085326,46.57741558409384,26.6589058204707,0.4805723198128211,2.125055911391478,9670.668421039445,15.145452959486526,0.1484013080157465,14.319351049377264,0.811658022195791,0.11050419599285514,0.15960570575822366
Sagittarius II,990025.0,0.9001572249793776,87.7364784362648,29302.252053277796,0.9000949847007619,15.75078022435275,12.096677627665956,81.69835230254319,34.60894039745905,570.1108422928774,95.96565275323488,28.03008460288374,136.30203144275146,2.3250154889646204,20.131320487035907,76.83055934439291,56.90601563683532,49.90682160769164,60.7369253636484,2.158184630184944,36.66196493104107,18.372245013102702,14.547254558232146,33380.20111939293,11804.586437606984,11.881221488401456,134.72295234984318,21.85068432526313,6.1655954454295125,26.058594787562146,87.82482780620437,29.21715259839993,10.747908643127806,805910.089847284,116.03655234311012,277.3594344495468,68.14181072174047,35.46857208867617,8.984111091057342,1.063735813933175,13.252421742921749,4.307926031088969,23.692053518931193,0.0910722712178067,-4.407780478492043,108.12968086986555,-3.853541928042304,-0.9804638888842732,-2.2253907545342564,15944.143683298855,29.967469166784525,0.025656205774193662,16.56446410629535,0.5964080035617694,0.07581060642974921,0.14503480490194745
Carina III,990025.0,0.9894555226853896,75.80005891909441,24891.436792163306,0.7525519351452977,13.41737598777934,14.64198798803154,98.69625444133032,55.98067203351571,742.746047045327,96.10568832362898,19.61708535667786,80.81266334783581,2.6511851320535547,15.409649970061364,70.86475462673164,64.33294681004446,19.7882022467118,51.11900374761306,2.0255410890832968,32.92511618967509,21.30437055255389,14.735999419987204,21339.88429615511,6949.630110811268,16.936520252227787,101.6365598744425,17.599206264080838,10.462830833930918,31.11432483169314,93.00823391400566,55.38629339349598,15.791855691909321,786409.9806458158,111.11613491189154,298.25960803590715,58.87797728409621,31.65212720942939,9.892711335247723,1.0847611025385473,10.70261071106694,3.168970723555059,17.733745632878836,0.0829637297619793,-6.716034221806154,74.6077572913747,14.678978206656744,-1.6475200002654642,-1.8284933701174348,13053.784854347196,21.063468855719336,0.007568957951271759,0.6667024657249462,0.8198720159530747,0.07326257780728287,0.0973419243544259
UGCA 133 (DDO 44),990025.0,0.5622125544782322,59.069890383041106,17551.45551448782,0.6384090127649941,8.11596324985103,7.4099033726555135,171.3432735055386,34.56358761006035,175.98367308607385,49.60275943072733,17.071427605776552,186.59041610414602,2.4638473075946323,11.161697097871354,100.41115609821249,92.91658461705477,83.93857840874462,54.84614930830456,1.9249105498816435,17.846523644285842,38.56883064027879,14.576116656051116,27289.4525144773,9052.806529413947,16.917631846972395,127.27098156521963,24.216057578867183,12.954183969615073,146.13069685118177,104.96094514293031,34.31661768941874,9.410270690804033,798389.2000981319,82.55932751815583,778.6529486603995,73.69942207391156,17.20523346131607,7.415636676395081,0.9648336780660428,11.394272149253206,10.148212313455419,20.661349443471533,0.051880758185808507,3.6517332769385504,135.46425512757054,-3.279979000154512,0.5793410854264156,0.10820005796645837,7348.538763493313,88.54434321607235,0.09011929092055396,1.906643291283971,3.405484838674741,0.1827440911266597,0.35644745003814576
Lacerta I (Andromeda XXXI),990025.0,0.8312182103279141,75.58388441632431,27631.426302158776,0.9153782608400696,15.823599916748938,12.322885980069824,123.52985843863172,34.338298587008694,677.8578908828252,88.76050582787381,20.95501833254341,114.40523653539078,2.4190409793020726,14.0041569841473,82.24919986882223,78.77907571361143,33.759546883782136,58.933714395678614,2.3397781666128963,25.792586745948572,21.58717188549564,13.367603441178801,35518.882715649794,6549.317598254375,16.612625762075186,118.11764519190065,23.686490862988286,16.35051901181469,17.545581132864456,87.43687540623743,31.01060773468017,8.537304890420046,824861.9443112488,131.629172548216,293.6508262460484,63.12281546565188,37.04811416749156,5.410697845078687,1.0971594570328134,1.3093067664868272,5.750289441332799,28.559308050866218,0.07202887096108546,-12.445182625356054,258.30140729511214,7.948019816538647,3.3391458555747846,-0.7144260318190799,15328.042277268289,-5.540471385914003,0.0264144488591312,21.07406407874274,0.8092940639257986,0.07872356254413532,0.11176226141415277
Boötes IV,990025.0,0.8338079802978067,70.50614332152205,17635.84207750381,0.8277916664888804,11.887409230798555,8.836914569160934,132.1795917337135,41.364349485100405,672.3400488918717,58.89625149952249,19.506059726236387,135.29810558912544,4.653012951913099,14.79964559649801,53.44938826245475,56.1121864280729,21.274335899517773,27.20254178414824,2.654055231145373,40.62643075336345,32.10780603040469,17.023979809471633,23362.2511086401,7881.639457469137,15.919002824691892,114.08826589701118,11.280480743725633,21.14792843644883,45.559389897151796,169.78400069055812,35.65098530438743,12.936624223407266,789148.6226353695,108.52769499727842,268.714162676164,47.58711391146149,22.784415647975703,7.264048662335483,0.8657898513726363,22.622977369882907,5.279254383968153,14.634942834833524,0.0586574622280609,-1.2001160835134925,149.95751032281308,48.275032038751014,0.8004998091878832,1.7526146971733638,14172.80368491321,15.518712272175883,0.10093863341101435,-6.11433842824041,0.7316456754596199,0.11272608852306831,0.1302600377837012
Maffei 2,990025.0,0.8356791556095843,73.6123124769907,22768.55601535836,0.5987858721494844,10.732419152852962,6.369677283238759,178.9141329653065,29.128074408525237,821.5525422332512,25.581702163246693,14.410354938266838,132.62200176866597,2.3458190490623503,8.158730032169899,77.24481676233269,80.84724025874203,115.31458855515112,53.229804005433714,2.070858386715781,15.821772938684804,34.62414124242166,16.787164198987277,20066.482271327368,8904.633013675879,17.753876321384393,141.21954791063817,12.592736047523065,9.401163598611953,76.14957100826733,51.86310854311606,27.14910975837708,10.400516546641176,799218.492661475,106.1336162499662,302.720835348644,53.16137554878785,26.41086001640155,8.086578202298881,1.0151668341945137,-3.5974124869025563,5.2142679983085465,23.15753330967722,0.052894752124435285,0.008360673076509784,91.05522039660411,6.6348370433869945,0.9882682644221032,-1.4767005852040018,13468.55885874777,7.3608772917942735,0.07994229269206987,7.016202851058346,0.23587486411906247,0.08115686577794028,0.13550937726876497
KUG 1210+301B (KK98 127),990025.0,0.6496890285789787,62.80453347164527,16163.475362699053,0.4697070785538806,11.494219254477356,4.416382433932355,148.16001280308794,29.216571229695678,611.2466741663247,30.550630359061586,17.361630973478317,166.30209333818675,2.3201781428111223,7.462930632407904,96.87754849909908,96.81667529466877,54.35970893225847,39.35751503176151,1.7811962854155792,20.054042260993445,64.41903229291152,39.802455771022174,16558.07280042292,4233.832511712143,3.394834531541524,76.82933402470465,17.5980628032863,6.64498133945798,111.8974787611437,107.82561062026735,20.225766588548545,11.394583265985283,782997.8118609721,122.627725991346,362.41472777813215,36.250034286893396,32.696934467521466,6.145030565289915,0.8513888269941643,21.671640762887826,3.9634048627508935,27.39648452597989,0.05266047706833177,0.582108498828589,25.741183363470043,14.750176495225247,1.7343715016404184,3.806362740151764,9502.299792172678,8.903603186077298,0.06071685714139776,15.92257784019085,0.8346942763990123,0.08067623979004673,0.13327953308439197
Andromeda V,990025.0,1.1169763230430771,90.75666916844635,51716.5159427675,0.98758968920575,16.308876049342782,11.617124402654548,46.006542630104676,43.388585147200345,571.2515039932732,87.49579408942837,27.28764563267559,48.80264426212752,3.029571324752719,9.977110570818867,73.83839042288866,72.35842503719851,86.92394534654608,54.318920883923504,2.070098825778644,23.664662471513648,38.00885113232659,9.043753698942254,51600.65728012463,5589.850787539822,19.148072504558314,37.23690834667174,18.553205449715826,11.277686761079705,41.67456990518246,302.01212263964857,43.336933196312984,8.99587541307338,802302.9258439109,121.48457160637287,230.13017506525645,78.291568391357,52.74237907664678,11.310968998143508,1.07785856133285,24.05498487169058,1.6460925821178023,22.569858912462355,0.21020164874453506,-12.110703873216394,13.087336875155387,22.048626562667735,-1.7337972782387112,-1.3932599162763264,33924.92313199488,-19.241541772147244,0.059034384574329656,21.25718010503148,0.7964165383568548,0.09597570733929595,0.15727626277842302
Sagittarius Dwarf Sphr SagDEG,990025.0,0.8975299093823419,75.86108427273511,48235.6360727037,0.8585815642173942,14.809514446216712,11.347938706404062,82.98948998876246,23.687157863760994,721.3583358215068,107.02258515913498,19.6809324460997,111.55142777215073,2.636801509436702,12.69344709054593,71.97936165501584,66.782974286621,39.14368092577845,46.849169958004026,2.2760590899980992,35.02189752468948,16.150170610982705,14.065024735010052,27772.801784241048,486.9869610195749,13.434899180850346,87.47524627921625,30.79006283136195,12.620752980655901,21.444621544505594,104.41549394639144,23.222747678508238,10.83877671586518,785537.2306301504,120.64848776851431,197.9847832432133,64.44180311137731,34.32831692259491,10.437670335538543,1.0676187197612106,22.9289400896484,4.869693237030722,22.98808289663091,0.07496698593213746,-3.0549587244630487,85.40720332307004,30.208542949118836,2.452523402614492,-1.077986813886532,23591.698514559084,-14.835682222270805,0.05751901722237758,18.56323360902218,0.7321842046083621,0.11103631558715277,0.11707721418991834
UGCA 276 (DDO 113),990025.0,0.9525914621489018,80.54691837822206,17912.179861481873,0.680580242220487,13.571351512829866,9.320591809068874,131.1822650789309,34.54244075268345,597.1044255347025,69.03546943696553,21.21056854661475,137.35399929237565,2.5416409332325527,25.0652741425435,70.14618925359814,65.99197446876286,96.42290671383385,49.64740718733946,2.170936844956373,38.322330334747306,6.74958493916509,14.27439664404634,15199.049689199175,6790.607838349879,16.264862533731254,196.86433268264443,19.30030356317693,6.990093887957043,33.79314581866271,86.94197458918345,32.045079469680786,17.73009717020907,779039.5942264183,127.46084118803816,177.77002679738322,65.66188528676045,36.80999209597461,5.6968677383361515,1.0468218020621591,10.43763038365256,4.570578095695313,17.001146147220553,0.05045961743956817,-7.581278507297029,67.55565374920877,37.6879323714288,0.4593706075555277,0.313033325376232,12388.841928208627,7.2572391654540445,0.07873851830160784,7.306394969638943,0.26665836998562376,0.11440038250327003,0.16748225777083042
